iter	Logloss
0	0.6456512663
1	0.6120032644
2	0.5716228899
3	0.5452223882
4	0.5211755609
5	0.4878011346
6	0.457775861
7	0.4346141469
8	0.4091242594
9	0.3993476082
10	0.3825836832
11	0.3601653996
12	0.3378995706
13	0.3206415982
14	0.3032554604
15	0.2899964516
16	0.2820735029
17	0.273986127
18	0.2634677005
19	0.2531776583
20	0.243424651
21	0.2339853839
22	0.2235921153
23	0.2156048685
24	0.2085245565
25	0.2021871674
26	0.1978033343
27	0.1914996255
28	0.1851293505
29	0.1785090128
30	0.1723976068
31	0.1659022199
32	0.1600249151
33	0.1556872213
34	0.1502308909
35	0.1436805403
36	0.1387156539
37	0.1347331009
38	0.1316524274
39	0.126703115
40	0.12479152
41	0.121413731
42	0.1175717579
43	0.1134841182
44	0.1097478725
45	0.1067528077
46	0.1035573511
47	0.100103565
48	0.09798170079
49	0.0950474622
50	0.09283975192
51	0.08967465831
52	0.0888033234
53	0.08665343648
54	0.08525376508
55	0.08364439467
56	0.08179696938
57	0.08000900824
58	0.07841525037
59	0.07660796151
60	0.07540686284
61	0.07472532357
62	0.07317770394
63	0.07102278886
64	0.06945540095
65	0.06795921618
66	0.06648992603
67	0.06519365242
68	0.063951095
69	0.06258762924
70	0.0618604192
71	0.06042701485
72	0.05966543916
73	0.05843045068
74	0.05743927912
75	0.05648243769
76	0.05504753768
77	0.05367132672
78	0.05321624639
79	0.05294954838
80	0.05195056533
81	0.05074939846
82	0.04977526645
83	0.04855876568
84	0.04782219779
85	0.04710575262
86	0.046290302
87	0.04548540001
88	0.04466068988
89	0.04374099614
90	0.04304936699
91	0.04205671937
92	0.04106683094
93	0.04079090268
94	0.04008611037
95	0.03934957212
96	0.03867005519
97	0.03807933629
98	0.03737462038
99	0.03678011769
100	0.03627365679
101	0.03589754533
102	0.03526661796
103	0.03470604456
104	0.03410666018
105	0.03376627793
