ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-01,2.1520132211200003,-2.4381888053679956,5.173482103941697,2.1520132211200003,2.1520132211200003,-0.8179393495517039,-0.8179393495517039,-0.8179393495517039,0.0613831571575883,0.0613831571575883,0.0613831571575883,-0.879322506709292,-0.879322506709292,-0.879322506709292,0.0,0.0,0.0,1.3340738715682963
2020-01-02,2.1528584842638128,-2.6477876569442094,5.181703582776844,2.1528584842638128,2.1528584842638128,-0.8744593301038439,-0.8744593301038439,-0.8744593301038439,-0.01771317053450737,-0.01771317053450737,-0.01771317053450737,-0.8567461595693366,-0.8567461595693366,-0.8567461595693366,0.0,0.0,0.0,1.2783991541599689
2020-01-03,2.1537037474076253,-2.498549285741243,5.3888577699509845,2.1537037474076253,2.1537037474076253,-0.8619017268474328,-0.8619017268474328,-0.8619017268474328,-0.03535328258201603,-0.03535328258201603,-0.03535328258201603,-0.8265484442654167,-0.8265484442654167,-0.8265484442654167,0.0,0.0,0.0,1.2918020205601923
2020-01-04,2.154549010551438,-2.5090522196444156,5.423180646427891,2.154549010551438,2.154549010551438,-0.7654801320857539,-0.7654801320857539,-0.7654801320857539,0.024629559362258333,0.024629559362258333,0.024629559362258333,-0.7901096914480122,-0.7901096914480122,-0.7901096914480122,0.0,0.0,0.0,1.3890688784656842
2020-01-05,2.1553942736952507,-2.5306675196778707,4.810544094644676,2.1553942736952507,2.1553942736952507,-0.9443780460967455,-0.9443780460967455,-0.9443780460967455,-0.19545719868331743,-0.19545719868331743,-0.19545719868331743,-0.748920847413428,-0.748920847413428,-0.748920847413428,0.0,0.0,0.0,1.2110162275985052
2020-01-06,2.156239536839064,-2.180423392642882,5.475705741165321,2.156239536839064,2.156239536839064,-0.5535991455861168,-0.5535991455861168,-0.5535991455861168,0.15093898770277578,0.15093898770277578,0.15093898770277578,-0.7045381332888926,-0.7045381332888926,-0.7045381332888926,0.0,0.0,0.0,1.6026403912529474
2020-01-07,2.1570847999828766,-2.3235519145870853,5.450316078209518,2.1570847999828766,2.1570847999828766,-0.646964673376118,-0.646964673376118,-0.646964673376118,0.011571947577525724,0.011571947577525724,0.011571947577525724,-0.6585366209536437,-0.6585366209536437,-0.6585366209536437,0.0,0.0,0.0,1.5101201266067585
2020-01-08,2.157930063126689,-2.0911942306580786,5.469942157869809,2.157930063126689,2.157930063126689,-0.551080932699321,-0.551080932699321,-0.551080932699321,0.06138315715808048,0.06138315715808048,0.06138315715808048,-0.6124640898574014,-0.6124640898574014,-0.6124640898574014,0.0,0.0,0.0,1.606849130427368
2020-01-09,2.158775326270502,-2.3076750529493295,5.289352501748797,2.158775326270502,2.158775326270502,-0.585509679547459,-0.585509679547459,-0.585509679547459,-0.01771317053429861,-0.01771317053429861,-0.01771317053429861,-0.5677965090131604,-0.5677965090131604,-0.5677965090131604,0.0,0.0,0.0,1.573265646723043
2020-01-10,2.1596205894143146,-2.17362412263048,5.42035626564316,2.1596205894143146,2.1596205894143146,-0.5612497117279158,-0.5612497117279158,-0.5612497117279158,-0.03535328258138699,-0.03535328258138699,-0.03535328258138699,-0.5258964291465288,-0.5258964291465288,-0.5258964291465288,0.0,0.0,0.0,1.5983708776863987
